"Qual.","Player","Team","POS","BA","OBP","SLG","OPS","GP","PA","AB","R","H","2B","3B","HR","RBI","HBP","BB","K","SB","CS"
0,"Alexis Lucyshyn","Buffalo",NA,0.245,0.327,0.457,0.784,53,171,151,20,37,2,0,10,30,2,17,49,0,1
0,"Alexis Massie","Alabama State",NA,0.284,0.323,0.328,0.65,43,127,116,10,33,5,0,0,14,2,5,14,0,0
0,"Alexis Matheney","Buffalo",NA,0.311,0.428,0.595,1.022,53,181,148,34,46,7,1,11,36,4,27,45,5,2
0,"Alexis Perry","Northwestern State",NA,0.232,0.288,0.336,0.624,44,141,125,9,29,2,1,3,29,2,9,13,0,0
0,"Alexis Perry","Tulsa",NA,0.333,0.464,0.648,1.112,39,140,108,22,36,4,0,10,38,1,28,22,1,0
0,"Alexis Phillips","Albany",NA,0.268,0.376,0.331,0.707,40,150,127,27,34,2,3,0,6,1,21,24,13,4
0,"Alexis Ross","Florida International",NA,0.275,0.321,0.336,0.657,40,143,131,31,36,4,2,0,5,2,7,15,14,2
0,"Alexis Silinonte","Wagner",NA,0.282,0.349,0.359,0.708,31,90,78,10,22,3,0,1,8,2,6,11,2,0
0,"Alexis Strother","Morehead State",NA,0.291,0.378,0.436,0.814,41,127,110,9,32,7,0,3,25,4,12,18,1,0
0,"Alexis Taube","Kent State",NA,0.304,0.34,0.481,0.822,48,150,135,23,41,4,1,6,34,4,5,17,2,2
0,"Alexis Wayland","Longwood",NA,0.247,0.286,0.414,0.7,54,186,174,28,43,8,0,7,34,2,8,26,7,3
0,"Alexus Jimmerson","Jacksonville State",NA,0.309,0.389,0.596,0.984,48,159,136,17,42,12,0,9,29,2,17,22,1,0
0,"Alexys Campos","North Dakota",NA,0.295,0.325,0.333,0.658,50,165,156,19,46,4,1,0,3,0,7,20,2,4
0,"Ali Milam","Marist",NA,0.3,0.33,0.533,0.863,27,95,90,12,27,6,0,5,16,0,4,21,5,1
0,"Alia Booth","Georgia Southern",NA,0.213,0.344,0.313,0.656,34,98,80,7,17,5,0,1,5,0,16,17,3,0
0,"Alicia Peters","Buffalo",NA,0.21,0.285,0.383,0.668,53,179,162,21,34,4,0,8,23,7,10,43,1,0
0,"Alicia Veltri","Belmont",NA,0.219,0.327,0.354,0.682,36,113,96,9,21,4,0,3,11,2,14,37,1,0
0,"Alina Castillo","Long Island",NA,0.424,0.521,0.515,1.036,35,121,99,24,42,6,0,1,22,6,14,6,0,0
0,"Alise Hale","Fort Wayne",NA,0.202,0.318,0.383,0.701,36,114,94,21,19,2,0,5,12,2,14,24,0,0
0,"Alison Seng","Boise State",NA,0.274,0.371,0.323,0.693,45,145,124,12,34,6,0,0,14,3,16,20,2,0
0,"Aliya Ewell","Morgan State",NA,0.294,0.384,0.471,0.855,41,139,119,29,35,7,4,2,20,3,15,15,9,1
0,"Aliyah Andrews","LSU",NA,0.365,0.419,0.479,0.898,57,212,192,46,70,6,5,2,19,1,17,19,27,2
0,"Aliyah Huerta-Leipner","Boston University",NA,0.292,0.364,0.4,0.764,40,144,120,25,35,7,3,0,22,1,16,25,6,1
0,"Aliyah Binford","Baylor",NA,0.286,0.325,0.457,0.782,46,151,140,18,40,9,0,5,28,2,7,27,2,0
0,"Allee Bunker","Oregon",NA,0.342,0.382,0.582,0.963,57,200,184,36,63,10,2,10,49,3,10,6,4,1
0,"Allie Cummins","Miami (OH)",NA,0.439,0.576,0.892,1.468,56,203,148,58,65,16,0,17,59,2,50,28,11,2
0,"Allie Englant","Ohio",NA,0.358,0.385,0.412,0.797,47,177,165,35,59,7,1,0,9,1,7,13,30,3
0,"Allie Herron","Saint Louis",NA,0.196,0.217,0.304,0.521,38,107,102,7,20,4,2,1,5,1,2,34,2,0
0,"Allie Jones","Mercer",NA,0.306,0.353,0.458,0.811,47,156,144,26,44,6,2,4,18,2,9,20,20,3
